pc_utc_iso,value
2026-04-14T15:10:10.1926801Z,10493
2026-04-14T15:10:10.2062044Z,10496
2026-04-14T15:10:10.2207082Z,10496
2026-04-14T15:10:10.2345289Z,10496
2026-04-14T15:10:10.2485840Z,10496
2026-04-14T15:10:10.2637462Z,10496
2026-04-14T15:10:10.2778482Z,10496
2026-04-14T15:10:10.2918622Z,10486
2026-04-14T15:10:10.3058692Z,10444
2026-04-14T15:10:10.3194397Z,10368
2026-04-14T15:10:10.3330235Z,10308
2026-04-14T15:10:10.3475834Z,10260
2026-04-14T15:10:10.3612561Z,10134
2026-04-14T15:10:10.3753861Z,10094
2026-04-14T15:10:10.3905270Z,10000
2026-04-14T15:10:10.4045319Z,9951
2026-04-14T15:10:10.4195303Z,9887
2026-04-14T15:10:10.4331354Z,9872
2026-04-14T15:10:10.4479573Z,9862
2026-04-14T15:10:10.4615901Z,9888
2026-04-14T15:10:10.4757977Z,9936
2026-04-14T15:10:10.4895623Z,10093
2026-04-14T15:10:10.5032257Z,10183
2026-04-14T15:10:10.5172735Z,10277
2026-04-14T15:10:10.5305569Z,10423
2026-04-14T15:10:10.5445973Z,10495
2026-04-14T15:10:10.5592663Z,10581
2026-04-14T15:10:10.5747808Z,10603
2026-04-14T15:10:10.5891959Z,10552
2026-04-14T15:10:10.6031644Z,10510
2026-04-14T15:10:10.6171745Z,10453
2026-04-14T15:10:10.6324250Z,10302
2026-04-14T15:10:10.6464290Z,10212
2026-04-14T15:10:10.6606390Z,10070
2026-04-14T15:10:10.6761540Z,9999
2026-04-14T15:10:10.6908130Z,9911
2026-04-14T15:10:10.7048320Z,9888
2026-04-14T15:10:10.7188683Z,9861
2026-04-14T15:10:10.7329337Z,9853
2026-04-14T15:10:10.7469637Z,9853
2026-04-14T15:10:10.7604435Z,9909
2026-04-14T15:10:10.7744700Z,9975
2026-04-14T15:10:10.7874865Z,10118
2026-04-14T15:10:10.8018393Z,10184
2026-04-14T15:10:10.8154250Z,10234
2026-04-14T15:10:10.8290647Z,10286
2026-04-14T15:10:10.8426409Z,10291
2026-04-14T15:10:10.8558211Z,10254
2026-04-14T15:10:10.8695337Z,10147
2026-04-14T15:10:10.8830442Z,10084
2026-04-14T15:10:10.8970575Z,10011
2026-04-14T15:10:10.9112756Z,9861
2026-04-14T15:10:10.9268416Z,9801
2026-04-14T15:10:10.9408451Z,9653
2026-04-14T15:10:10.9538850Z,9607
2026-04-14T15:10:10.9685478Z,9554
2026-04-14T15:10:10.9817301Z,9538
2026-04-14T15:10:10.9959701Z,9532
2026-04-14T15:10:11.0099781Z,9442
2026-04-14T15:10:11.0237125Z,9412
2026-04-14T15:10:11.0372367Z,9392
2026-04-14T15:10:11.0515619Z,9366
2026-04-14T15:10:11.0657309Z,9362
2026-04-14T15:10:11.0795222Z,9352
2026-04-14T15:10:11.0941079Z,9351
2026-04-14T15:10:11.1086765Z,9351
2026-04-14T15:10:11.1230730Z,9349
2026-04-14T15:10:11.1372078Z,9350
2026-04-14T15:10:11.1517173Z,9282
2026-04-14T15:10:11.1660035Z,9251
2026-04-14T15:10:11.1800967Z,9212
2026-04-14T15:10:11.1941708Z,9202
2026-04-14T15:10:11.2081970Z,9192
2026-04-14T15:10:11.2232718Z,9189
2026-04-14T15:10:11.2376611Z,9187
2026-04-14T15:10:11.2529963Z,9187
2026-04-14T15:10:11.2676860Z,9184
2026-04-14T15:10:11.2822040Z,9184
2026-04-14T15:10:11.2958895Z,9183
2026-04-14T15:10:11.3108971Z,9183
2026-04-14T15:10:11.3255746Z,9182
2026-04-14T15:10:11.3395966Z,9182
2026-04-14T15:10:11.3538138Z,9182
2026-04-14T15:10:11.3668170Z,9166
2026-04-14T15:10:11.3818174Z,9089
2026-04-14T15:10:11.3960458Z,9067
2026-04-14T15:10:11.4109734Z,9042
2026-04-14T15:10:11.4245194Z,9039
2026-04-14T15:10:11.4390341Z,9027
2026-04-14T15:10:11.4520507Z,9027
2026-04-14T15:10:11.4676273Z,9024
2026-04-14T15:10:11.4815660Z,9020
2026-04-14T15:10:11.4951500Z,9019
2026-04-14T15:10:11.5093312Z,9023
2026-04-14T15:10:11.5241370Z,9022
2026-04-14T15:10:11.5377773Z,9022
2026-04-14T15:10:11.5517771Z,9023
2026-04-14T15:10:11.5674746Z,9020
2026-04-14T15:10:11.5830500Z,9020
2026-04-14T15:10:11.5975646Z,9018
2026-04-14T15:10:11.6125710Z,9015
2026-04-14T15:10:11.6258058Z,8972
2026-04-14T15:10:11.6394841Z,8906
2026-04-14T15:10:11.6543857Z,8852
2026-04-14T15:10:11.6680041Z,8745
2026-04-14T15:10:11.6810383Z,8677
2026-04-14T15:10:11.6960771Z,8632
2026-04-14T15:10:11.7105912Z,8498
2026-04-14T15:10:11.7274343Z,8455
2026-04-14T15:10:11.7419705Z,8339
2026-04-14T15:10:11.7559878Z,8292
2026-04-14T15:10:11.7707521Z,8246
2026-04-14T15:10:11.7845055Z,8230
2026-04-14T15:10:11.7983210Z,8210
2026-04-14T15:10:11.8121257Z,8209
